
[80] [01/13/22 19:35:44] [192.168.0.106 :1328] [Windows NT 10.0; Win64; x64] ['http://192.168.0.106:5000/favicon.ico'; Request; GET] [192.168.0.106:5000]
[81] [01/13/22 19:35:46] [192.168.0.106 :1334] [Windows NT 10.0; Win64; x64] ['http://192.168.0.106:5000/favicon.ico'; Request; GET] [192.168.0.106:5000]
[82] [01/13/22 19:35:58] [192.168.0.106 :1347] [Windows NT 10.0; Win64; x64] ['http://192.168.0.106:5000/favicon.ico'; Request; GET] [192.168.0.106:5000]
[83] [01/13/22 19:36:08] [192.168.0.106 :1363] [Windows NT 10.0; Win64; x64] ['http://192.168.0.106:5000/favicon.ico'; Request; GET] [192.168.0.106:5000]
[84] [01/13/22 19:37:14] [192.168.0.106 :1453] [Windows NT 10.0; Win64; x64] ['http://192.168.0.106:5000/favicon.ico'; Request; GET] [192.168.0.106:5000]
[85] [01/13/22 19:37:18] [192.168.0.106 :1467] [Windows NT 10.0; Win64; x64] ['http://192.168.0.106:5000/favicon.ico'; Request; GET] [192.168.0.106:5000]
[86] [01/13/22 19:37:29] [192.168.0.106 :1478] [Windows NT 10.0; Win64; x64] ['http://192.168.0.106:5000/home'; Request; GET] [192.168.0.106:5000]
[87] [01/13/22 19:39:10] [192.168.0.106 :1556] [Windows NT 10.0; Win64; x64] ['http://192.168.0.106:5000/ltest'; Request; GET] 
[88] [01/13/22 19:40:18] [192.168.0.106 :1609] [Windows NT 10.0; Win64; x64] ['http://192.168.0.106:5000/ltest?s=sdasdsad'; Request; GET] 
[89] [01/13/22 19:42:53] [192.168.0.106 :1694] [Windows NT 10.0; Win64; x64] [/ltest] 
[90] [01/13/22 19:42:55] [192.168.0.106 :1702] [Windows NT 10.0; Win64; x64] [/ltest?s=sdasdsad] 
[91] [01/13/22 19:42:56] [192.168.0.106 :1706] [Windows NT 10.0; Win64; x64] [/ltest?s=sdasdsad] 
[92] [01/13/22 19:45:07] [192.168.0.106 :1790] [Windows NT 10.0; Win64; x64] [/ltest] 
[93] [01/13/22 19:45:15] [192.168.0.106 :1801] [Windows NT 10.0; Win64; x64] [/] 
[94] [01/13/22 19:46:00] [192.168.0.106 :1861] [New_IP]  [Windows NT 10.0; Win64; x64] [/content_creation_lobby] 
[95] [01/13/22 19:46:42] [192.168.0.106 :1885] [Windows NT 10.0; Win64; x64] [/content_creation_lobby] 
[96] [01/13/22 19:46:46] [192.168.0.106 :1891] [Windows NT 10.0; Win64; x64] [/] 
[97] [01/13/22 19:47:06] [192.168.0.106 :1926] [Windows NT 10.0; Win64; x64] [/favicon.ico] 
[98] [01/13/22 19:48:13] [192.168.0.106 :1967] [Windows NT 10.0; Win64; x64] [/data] 
[99] [01/13/22 19:48:13] [192.168.0.106 :1968] [Windows NT 10.0; Win64; x64] [/favicon.ico] 
[100] [01/13/22 19:48:14] [192.168.0.106 :1970] [Windows NT 10.0; Win64; x64] [/log] 
[101] [01/13/22 19:48:24] [192.168.0.106 :1985] [Windows NT 10.0; Win64; x64] [/data] 
[102] [01/13/22 19:48:24] [192.168.0.106 :1986] [Windows NT 10.0; Win64; x64] [/favicon.ico] 
[103] [01/13/22 19:49:52] [192.168.0.106 :1077] [Windows NT 10.0; Win64; x64] [/content_creation_lobby] 
[104] [01/13/22 19:50:11] [192.168.0.149 :38064] [New_IP]  [Linux; Android 11; SM-G980F] [/log] 
[105] [01/13/22 19:54:01] [192.168.0.106 :1242] [Windows NT 10.0; Win64; x64] [/data] 
[106] [01/13/22 19:54:01] [192.168.0.106 :1244] [Windows NT 10.0; Win64; x64] [/favicon.ico] 
[107] [01/13/22 19:54:11] [192.168.0.106 :1251] [Windows NT 10.0; Win64; x64] [/jdata] 
[108] [01/13/22 19:54:43] [192.168.0.106 :1276] [Windows NT 10.0; Win64; x64] [/jdata] 
[109] [01/13/22 19:54:43] [192.168.0.106 :1277] [Windows NT 10.0; Win64; x64] [/favicon.ico] 
[110] [01/13/22 19:55:02] [192.168.0.106 :1294] [Windows NT 10.0; Win64; x64] [/yt] 
[111] [01/13/22 19:55:02] [192.168.0.106 :1297] [Windows NT 10.0; Win64; x64] [/favicon.ico] 
[112] [01/13/22 19:55:35] [192.168.0.106 :1322] [Windows NT 10.0; Win64; x64] [/yt] 
[113] [01/13/22 19:55:35] [192.168.0.106 :1320] [Windows NT 10.0; Win64; x64] [/favicon.ico] 
[114] [01/13/22 19:55:49] [192.168.0.106 :1336] [Windows NT 10.0; Win64; x64] [/yt] 
[115] [01/13/22 19:55:50] [192.168.0.106 :1335] [Windows NT 10.0; Win64; x64] [/favicon.ico] 
[116] [01/13/22 19:56:35] [192.168.0.106 :1370] [Windows NT 10.0; Win64; x64] [/yt] 
[117] [01/13/22 19:56:36] [192.168.0.106 :1369] [Windows NT 10.0; Win64; x64] [/favicon.ico] 
[118] [01/13/22 19:58:47] [192.168.0.106 :1467] [Windows NT 10.0; Win64; x64] [/jyt] 
[119] [01/13/22 19:58:48] [192.168.0.106 :1471] [Windows NT 10.0; Win64; x64] [/favicon.ico] 
[120] [01/13/22 19:58:49] [192.168.0.106 :1475] [Windows NT 10.0; Win64; x64] [/favicon.ico] 
[121] [01/13/22 20:04:14] [192.168.0.106 :1683] [Windows NT 10.0; Win64; x64] [/alink] 
[122] [01/13/22 20:04:14] [192.168.0.106 :1685] [Windows NT 10.0; Win64; x64] [/favicon.ico] 
